pot angle,encoder angle,ax,ay,az
-87.000000,-90.348839,0.019800,0.070400,1.093400
-88.000000,-90.348839,0.015400,0.072600,1.084600
-87.000000,-90.348839,0.019800,0.077000,1.095600
-88.000000,-90.348839,0.028600,0.059400,1.078000
-87.000000,-90.348839,0.015400,0.066000,1.100000
-88.000000,-90.348839,0.008800,0.055000,1.060400
-87.000000,-90.348839,0.022000,0.063800,1.089000
-88.000000,-90.348839,0.017600,0.077000,1.095600
-87.000000,-90.348839,0.017600,0.070400,1.071400
-88.000000,-90.348839,0.046200,0.066000,1.084600
-88.000000,-90.174423,0.002200,0.110000,1.313400
-88.000000,-89.825584,-0.019800,0.151800,1.601600
-87.000000,-89.389542,0.059400,0.072600,1.854600
-87.000000,-88.866280,0.061600,0.019800,1.900800
-86.000000,-88.168610,0.211200,0.090200,1.707200
-85.000000,-87.470932,0.297000,0.112200,1.491600
-84.000000,-86.598839,0.292600,0.052800,1.366200
-83.000000,-85.726746,0.255200,0.151800,1.361800
-83.000000,-84.767448,0.154000,0.224400,1.599400
-82.000000,-83.720932,0.013200,0.171600,1.467400
-80.000000,-82.674423,0.035200,0.059400,1.276000
-79.000000,-81.627907,-0.013200,0.033000,0.932800
-78.000000,-80.581398,-0.147400,-0.019800,0.803000
-77.000000,-79.447678,-0.292600,-0.101200,0.774400
-75.000000,-78.313957,-0.367400,-0.110000,0.783200
-75.000000,-77.093025,-0.327800,-0.017600,0.831600
-73.000000,-75.872093,-0.259600,0.024200,0.886600
-72.000000,-74.738373,-0.083600,0.050600,1.075800
-71.000000,-73.517448,-0.085800,0.211200,1.416800
-70.000000,-72.296516,-0.178200,0.235400,1.386000
-69.000000,-71.075584,-0.110000,0.019800,1.271600
-68.000000,-69.854652,-0.074800,0.092400,1.073600
-66.000000,-68.633720,-0.143000,0.123200,1.051600
-65.000000,-67.412796,-0.101200,0.103400,1.304600
-63.000000,-66.191864,-0.145200,0.129800,1.311200
-63.000000,-64.970932,-0.231000,0.112200,1.097800
-61.000000,-63.750004,-0.391600,-0.072600,0.961400
-60.000000,-62.529072,-0.404800,-0.088000,0.767800
-59.000000,-61.308144,-0.451000,-0.035200,0.646800
-58.000000,-60.000004,-0.587400,0.061600,0.759000
-56.000000,-58.779072,-0.523600,0.156200,0.677600
-55.000000,-57.470932,-0.484000,0.070400,0.704000
-53.000000,-56.250004,-0.536800,-0.046200,0.851400
-53.000000,-54.941864,-0.407000,-0.121000,1.038400
-51.000000,-53.633724,-0.422400,0.239800,1.148400
-50.000000,-52.325584,-0.468600,0.165000,1.056000
-49.000000,-51.104652,-0.503800,-0.017600,0.981200
-47.000000,-49.796513,-0.407000,-0.121000,1.119800
-46.000000,-48.488373,-0.413600,0.006600,1.062600
-45.000000,-47.267445,-0.530200,0.314600,0.930600
-44.000000,-45.959305,-0.649000,0.125400,0.851400
-43.000000,-44.651165,-0.624800,-0.035200,0.842600
-41.000000,-43.430233,-0.622600,-0.114400,0.684200
-40.000000,-42.122093,-0.653400,0.123200,0.552200
-39.000000,-40.813953,-0.726000,0.151800,0.457600
-38.000000,-39.505814,-0.723800,0.006600,0.543400
-36.000000,-38.197678,-0.688600,-0.193600,0.732600
-35.000000,-36.802326,-0.745800,-0.002200,0.574200
-34.000000,-35.494186,-0.816200,0.061600,0.572000
-32.000000,-34.186047,-0.756800,-0.004400,0.941600
-31.000000,-32.877907,-0.558800,-0.066000,0.970200
-30.000000,-31.569769,-0.671000,0.074800,0.642400
-28.000000,-30.261629,-0.803000,0.246400,0.840400
-27.000000,-28.866280,-0.739200,-0.008800,0.875600
-26.000000,-27.558140,-0.640200,0.011000,0.664400
-25.000000,-26.250002,-0.776600,0.083600,0.536800
-24.000000,-24.941862,-0.941600,0.077000,0.457600
-23.000000,-23.546513,-0.781000,-0.105600,0.506000
-21.000000,-22.238373,-0.818400,-0.070400,0.325600
-20.000000,-20.843023,-0.880000,-0.085800,0.209000
-19.000000,-19.534885,-0.869000,-0.191400,0.426800
-19.000000,-18.139536,-0.781000,-0.068200,0.541200
-17.000000,-16.744186,-0.972400,-0.057200,0.246400
-16.000000,-15.348838,-0.844800,-0.129800,0.281600
-14.000000,-14.040698,-0.688600,-0.026400,0.622600
-13.000000,-12.645350,-0.871200,0.118800,0.437800
-11.000000,-11.337210,-0.972400,0.213400,0.187000
-10.000000,-10.116280,-0.895400,0.050600,0.367400
-10.000000,-8.895350,-0.899800,0.099000,0.283800
