ms,x,y,theta1,theta2
84313, 97.139961, 244.129880, 1.000000, -117.000000
84318, 98.012154, 245.879240, 1.000000, -117.000000
84322, 95.360199, 245.809840, 1.000000, -117.000000
84326, 97.139961, 244.129880, 1.000000, -117.000000
84331, 98.012154, 245.879240, 1.000000, -117.000000
84335, 96.201736, 247.574160, 1.000000, -117.000000
84340, 98.012154, 245.879240, 1.000000, -117.000000
84344, 96.201736, 247.574160, 1.000000, -117.000000
84349, 98.012154, 245.879240, 1.000000, -117.000000
84353, 97.139961, 244.129880, 1.000000, -117.000000
84356, 97.139961, 244.129880, 1.000000, -117.000000
84361, 98.012154, 245.879240, 2.000000, -117.000000
84365, 97.139961, 244.129880, 1.000000, -117.000000
84370, 98.012154, 245.879240, 1.000000, -117.000000
84374, 98.012154, 245.879240, 1.000000, -117.000000                             
84379, 98.012154, 245.879240, 1.000000, -117.000000                             
84383, 96.201736, 247.574160, 1.000000, -117.000000                             
84387, 96.201736, 247.574160, 1.000000, -117.000000                             
84392, 98.012154, 245.879240, 1.000000, -117.000000                             
84396, 97.139961, 244.129880, 1.000000, -117.000000                             
84400, 98.012154, 245.879240, 1.000000, -117.000000                             
84404, 97.139961, 244.129880, 1.000000, -117.000000                             
84409, 98.012154, 245.879240, 1.000000, -117.000000                             
84413, 98.012154, 245.879240, 1.000000, -117.000000                             
84418, 98.012154, 245.879240, 1.000000, -117.000000                             
84422, 96.201736, 247.574160, 1.000000, -117.000000                             
84426, 96.201736, 247.574160, 1.000000, -117.000000                             
84431, 98.012154, 245.879240, 1.000000, -117.000000                             
84435, 97.139961, 244.129880, 1.000000, -117.000000                             
84440, 98.012154, 245.879240, 1.000000, -117.000000                             
84443, 97.139961, 244.129880, 1.000000, -117.000000                             
84448, 98.012154, 245.879240, 1.000000, -117.000000                             
84452, 98.012154, 245.879240, 1.000000, -117.000000                             
84456, 98.012154, 245.879240, 1.000000, -117.000000                             
84461, 98.012154, 245.879240, 1.000000, -117.000000                             
84465, 96.201736, 247.574160, 1.000000, -117.000000                             
84470, 98.012154, 245.879240, 1.000000, -117.000000                             
84474, 97.139961, 244.129880, 1.000000, -117.000000                             
84479, 98.012154, 245.879240, 1.000000, -117.000000                             
84483, 98.012154, 245.879240, 1.000000, -117.000000                             
84487, 98.012154, 245.879240, 1.000000, -117.000000                             
84491, 98.012154, 245.879240, 2.000000, -117.000000                             
84495, 98.012154, 245.879240, 1.000000, -117.000000                             
84500, 98.012154, 245.879240, 1.000000, -117.000000                             
84504, 96.201736, 247.574160, 1.000000, -117.000000                             
84509, 98.012154, 245.879240, 1.000000, -117.000000                             
84513, 97.139961, 244.129880, 1.000000, -117.000000                             
84517, 97.139961, 244.129880, 1.000000, -117.000000                             
84522, 98.012154, 245.879240, 2.000000, -117.000000                             
84526, 98.012154, 245.879240, 1.000000, -117.000000                             
84530, 98.012154, 245.879240, 1.000000, -117.000000                             
84534, 98.012154, 245.879240, 1.000000, -117.000000                             
84539, 98.012154, 245.879240, 1.000000, -117.000000                             
84543, 96.201736, 247.574160, 1.000000, -117.000000                             
84547, 96.201736, 247.574160, 1.000000, -117.000000                             
84551, 98.853699, 247.643590, 2.000000, -117.000000                             
84555, 98.890129, 242.419190, 0.000000, -117.000000                             
84559, 99.792725, 244.153050, 0.000000, -117.000000                             
84563, 98.890129, 242.419190, 0.000000, -117.000000                             
84566, 98.890129, 242.419190, 0.000000, -117.000000                             
84571, 99.792725, 244.153050, 0.000000, -117.000000                             
84574, 98.890129, 242.419190, 0.000000, -117.000000                             
84579, 99.792725, 244.153050, 0.000000, -117.000000                             
84582, 98.012154, 245.879240, 1.000000, -117.000000                             
84586, 98.012154, 245.879240, 1.000000, -117.000000                             
84590, 99.792725, 244.153050, 1.000000, -117.000000                             
84594, 98.012154, 245.879240, 0.000000, -117.000000                             
84598, 98.890129, 242.419190, 1.000000, -117.000000                             
84602, 98.012154, 245.879240, 0.000000, -117.000000                             
84606, 99.792725, 244.153050, 0.000000, -117.000000                             
84610, 99.792725, 244.153050, 0.000000, -118.000000                             
84614, 100.610180, 240.678160, 0.000000, -117.000000                            
84617, 98.890129, 242.419190, 0.000000, -117.000000                             
84622, 101.542890, 242.396030, -1.000000, -117.000000                           
84626, 101.542890, 242.396030, -1.000000, -117.000000                           
84630, 103.262120, 240.608720, -2.000000, -117.000000                           
84634, 103.262120, 240.608720, -3.000000, -117.000000                           
84638, 104.949900, 238.791690, -3.000000, -117.000000                           
84642, 104.949900, 238.791690, -3.000000, -117.000000                           
84646, 106.605710, 236.945480, -4.000000, -117.000000                           
84651, 108.229040, 235.070600, -4.000000, -117.000000                           
84654, 108.229040, 235.070600, -5.000000, -117.000000                           
84658, 108.229040, 235.070600, -6.000000, -117.000000                           
84663, 111.376340, 231.237400, -6.000000, -117.000000                           
84666, 109.819420, 233.167720, -6.000000, -117.000000                           
84671, 111.376340, 231.237400, -7.000000, -117.000000                           
84675, 111.376340, 231.237400, -7.000000, -117.000000                           
84679, 114.006520, 230.891160, -7.000000, -117.000000                           
84683, 112.899340, 229.280180, -8.000000, -117.000000                           
84687, 114.387930, 227.296660, -9.000000, -117.000000                           
84691, 117.004430, 226.858860, -9.000000, -117.000000                           
84695, 115.841690, 225.287510, -10.000000, -117.000000                          
84700, 117.260150, 223.253230, -11.000000, -117.000000                          
84704, 117.260150, 223.253230, -11.000000, -117.000000                          
84707, 118.642910, 221.194550, -12.000000, -117.000000                          
84712, 119.989530, 219.112030, -13.000000, -117.000000                          
84716, 121.299590, 217.006300, -14.000000, -117.000000                          
84720, 123.867970, 216.342100, -14.000000, -117.000000                          
84724, 122.572710, 214.878080, -15.000000, -118.000000                          
84728, 123.808470, 212.727920, -16.000000, -117.000000                          
84733, 125.006550, 210.556580, -16.000000, -117.000000                          
84736, 123.808470, 212.727920, -17.000000, -117.000000                          
84741, 126.166550, 208.364620, -17.000000, -117.000000                          
84745, 126.166550, 208.364620, -18.000000, -117.000000                          
84749, 126.166550, 208.364620, -18.000000, -117.000000                          
84753, 128.682310, 207.522860, -19.000000, -117.000000                          
84757, 128.370880, 203.921660, -20.000000, -117.000000                          
84762, 129.788820, 205.267240, -20.000000, -117.000000                          
84765, 128.370880, 203.921660, -20.000000, -117.000000                          
84770, 129.414550, 201.672000, -21.000000, -117.000000                          
84774, 130.418810, 199.404480, -22.000000, -118.000000                          
84778, 130.418810, 199.404480, -23.000000, -117.000000                          
84782, 132.869740, 198.389280, -23.000000, -118.000000                          
84786, 131.383350, 197.119780, -24.000000, -117.000000                          
84791, 133.816190, 196.061920, -24.000000, -117.000000                          
84795, 133.192050, 192.501590, -24.000000, -117.000000                          
84798, 134.035680, 190.169510, -25.000000, -118.000000                          
84803, 134.838500, 187.823070, -26.000000, -117.000000                          
84807, 134.838500, 187.823070, -28.000000, -117.000000                          
84811, 135.600220, 185.462970, -29.000000, -118.000000                          
84815, 136.320660, 183.090000, -30.000000, -118.000000                          
84819, 136.999540, 180.704740, -30.000000, -118.000000                          
84824, 138.629610, 181.783660, -30.000000, -117.000000                          
