ms,x,y,theta1,theta2
132031, 156.100040, 312.755100, -18.000000, -59.000000
132035, 158.615810, 311.913330, -18.000000, -58.000000
132039, 158.159470, 313.814060, -19.000000, -57.000000
132044, 158.159470, 313.814060, -19.000000, -57.000000
132047, 157.670060, 315.706540, -19.000000, -56.000000
132052, 157.670060, 315.706540, -19.000000, -55.000000
132056, 156.592500, 319.464450, -19.000000, -55.000000
132060, 156.592500, 319.464450, -19.000000, -54.000000
132064, 156.592500, 319.464450, -19.000000, -54.000000
132068, 156.004680, 321.328700, -19.000000, -53.000000
132073, 156.004680, 321.328700, -19.000000, -53.000000
132076, 155.384430, 323.182430, -20.000000, -53.000000
132080, 158.505390, 320.443180, -19.000000, -52.000000
132085, 154.731930, 325.025050, -19.000000, -51.000000
132089, 154.731930, 325.025050, -19.000000, -51.000000                          
132093, 157.885150, 322.296910, -20.000000, -50.000000                          
132097, 157.232640, 324.139530, -20.000000, -50.000000                          
132102, 156.548080, 325.970490, -20.000000, -49.000000                          
132106, 156.548080, 325.970490, -20.000000, -49.000000                          
132109, 156.548080, 325.970490, -20.000000, -49.000000                          
132114, 155.831650, 327.789220, -20.000000, -48.000000                          
132118, 155.083600, 329.595150, -20.000000, -48.000000                          
132122, 155.831650, 327.789220, -21.000000, -48.000000                          
132126, 155.083600, 329.595150, -20.000000, -48.000000                          
132130, 155.083600, 329.595150, -20.000000, -47.000000                          
132135, 155.083600, 329.595150, -20.000000, -47.000000                          
132139, 158.316510, 326.860170, -21.000000, -47.000000                          
132143, 158.316510, 326.860170, -20.000000, -47.000000                          
132147, 154.304150, 331.387790, -20.000000, -46.000000                          
132152, 154.304150, 331.387790, -21.000000, -47.000000                          
132155, 157.568470, 328.666110, -21.000000, -46.000000                          
132159, 157.568470, 328.666110, -21.000000, -46.000000                          
132164, 157.568470, 328.666110, -20.000000, -46.000000                          
132168, 154.304150, 331.387790, -21.000000, -46.000000                          
132172, 157.568470, 328.666110, -21.000000, -46.000000                          
132176, 157.568470, 328.666110, -21.000000, -46.000000                          
132180, 160.784790, 325.887880, -21.000000, -47.000000                          
132185, 158.316510, 326.860170, -21.000000, -46.000000                          
132188, 160.784790, 325.887880, -21.000000, -46.000000                          
132193, 157.568470, 328.666110, -21.000000, -46.000000                          
