ms,x,y,theta1,theta2
348377,179.792270,320.622680,-31.000000,-34.000000
348381,178.950710,322.386990,-32.000000,-34.000000
348385,182.054200,319.236570,-32.000000,-33.000000
348389,181.212650,321.000890,-32.000000,-32.000000
348393,183.450070,319.575470,-33.000000,-32.000000
348398,187.314410,314.568210,-34.000000,-32.000000
348401,189.500720,313.065610,-34.000000,-31.000000
348405,185.662260,318.111270,-34.000000,-30.000000
348410,188.690090,314.844360,-35.000000,-30.000000
348414,191.660430,311.525090,-36.000000,-30.000000
348418,193.792970,309.947080,-37.000000,-29.000000
348422,192.982360,311.725830,-37.000000,-28.000000
348427,195.897610,308.332120,-38.000000,-29.000000
348431,198.753230,304.888060,-39.000000,-28.000000
348435,195.087010,310.110870,-38.000000,-27.000000
348439,197.163180,308.459440,-39.000000,-27.000000
348443,200.020810,304.993260,-41.000000,-27.000000
348448,203.565550,299.671780,-42.000000,-27.000000
348451,205.552440,297.913940,-42.000000,-26.000000
348455,205.552440,297.913940,-42.000000,-26.000000
348460,208.224750,294.302980,-44.000000,-27.000000
348464,210.833650,290.645870,-45.000000,-26.000000
348468,213.378300,286.943850,-45.000000,-26.000000
348472,213.378300,286.943850,-45.000000,-26.000000
348477,215.857970,283.197970,-46.000000,-26.000000
348481,218.271900,279.409360,-47.000000,-26.000000
348484,220.619320,275.579220,-48.000000,-26.000000
348489,220.064150,277.453490,-48.000000,-26.000000
348493,220.619320,275.579220,-48.000000,-26.000000
348498,222.377170,273.592350,-49.000000,-25.000000
348501,225.111850,267.798950,-50.000000,-25.000000
348505,224.622440,269.691440,-51.000000,-26.000000
348510,227.255650,263.851170,-51.000000,-25.000000
348514,226.799320,265.751920,-51.000000,-25.000000
348518,228.907090,261.775050,-52.000000,-25.000000
348522,229.330170,259.866640,-52.000000,-26.000000
348526,229.330170,259.866640,-53.000000,-25.000000
348531,230.945130,257.761990,-53.000000,-25.000000
348534,230.945130,257.761990,-53.000000,-25.000000
348539,232.912830,253.713960,-54.000000,-25.000000
348543,235.132200,247.704280,-55.000000,-25.000000
348547,234.809570,249.632220,-55.000000,-25.000000
348551,235.132200,247.704280,-56.000000,-26.000000
348555,236.923740,243.584690,-56.000000,-26.000000
348560,236.634810,245.517960,-56.000000,-25.000000
348563,236.634810,245.517960,-56.000000,-25.000000
348568,238.643100,239.434490,-57.000000,-26.000000
348572,238.643100,239.434490,-57.000000,-25.000000
348576,238.643100,239.434490,-57.000000,-25.000000
348580,238.387950,241.372510,-57.000000,-25.000000
348584,238.643100,239.434490,-58.000000,-26.000000
348589,240.068480,237.197100,-58.000000,-25.000000
348593,240.289750,235.254910,-58.000000,-25.000000
348596,240.068480,237.197100,-58.000000,-25.000000
348601,240.289750,235.254910,-58.000000,-25.000000
348605,240.289750,235.254910,-58.000000,-25.000000
348609,240.068480,237.197100,-58.000000,-25.000000
348613,240.289750,235.254910,-58.000000,-25.000000
348618,241.675870,232.992980,-58.000000,-25.000000
348622,240.289750,235.254910,-59.000000,-25.000000
348625,241.675870,232.992980,-58.000000,-25.000000
348630,241.675870,232.992980,-59.000000,-25.000000
348634,241.863240,231.047230,-59.000000,-25.000000
348639,241.675870,232.992980,-59.000000,-25.000000
348642,241.675870,232.992980,-59.000000,-25.000000
348646,241.675870,232.992980,-59.000000,-25.000000
348651,241.675870,232.992980,-59.000000,-25.000000
348655,241.675870,232.992980,-59.000000,-24.000000
348659,241.675870,232.992980,-59.000000,-25.000000
348663,241.675870,232.992980,-59.000000,-25.000000
348667,241.863240,231.047230,-59.000000,-25.000000
348672,241.675870,232.992980,-59.000000,-25.000000
348675,241.675870,232.992980,-59.000000,-25.000000
348680,241.675870,232.992980,-60.000000,-25.000000
348684,243.209670,228.761430,-59.000000,-25.000000
348689,241.675870,232.992980,-59.000000,-25.000000
348692,241.675870,232.992980,-60.000000,-25.000000
348696,243.209670,228.761430,-60.000000,-25.000000
348701,243.209670,228.761430,-60.000000,-25.000000
348705,243.209670,228.761430,-60.000000,-24.000000
348709,243.209670,228.761430,-60.000000,-25.000000
348713,243.209670,228.761430,-60.000000,-25.000000
348717,243.209670,228.761430,-60.000000,-25.000000
348722,243.209670,228.761430,-60.000000,-25.000000
348725,243.209670,228.761430,-60.000000,-25.000000
348730,243.022310,230.707180,-61.000000,-25.000000
348734,246.190980,216.314330,-62.000000,-27.000000
348738,246.190980,216.314330,-62.000000,-27.000000
348742,246.190980,216.314330,-62.000000,-27.000000
348746,244.873960,220.599780,-62.000000,-27.000000
348751,246.208040,214.359650,-62.000000,-27.000000
348755,246.139800,218.268400,-61.000000,-27.000000
348759,244.873960,220.599780,-62.000000,-27.000000
348763,246.190980,216.314330,-62.000000,-27.000000
348767,246.190980,216.314330,-62.000000,-27.000000
348771,244.925140,218.645710,-61.000000,-27.000000
348775,244.873960,220.599780,-61.000000,-28.000000
348780,243.618800,220.954670,-60.000000,-28.000000
348784,243.567630,222.908740,-60.000000,-29.000000
348788,243.618800,220.954670,-60.000000,-29.000000
348792,243.635860,219.000000,-60.000000,-30.000000
348796,243.635860,219.000000,-60.000000,-31.000000
348801,243.567640,215.091260,-59.000000,-32.000000
348804,242.272370,219.331120,-59.000000,-33.000000
348809,242.135930,215.424160,-59.000000,-33.000000
348813,242.221210,217.377060,-59.000000,-34.000000
348817,242.221210,217.377060,-58.000000,-34.000000
348821,240.630480,215.735000,-59.000000,-36.000000
348825,240.630480,215.735000,-58.000000,-36.000000
348830,239.051730,216.023680,-57.000000,-38.000000
348834,239.051730,216.023680,-57.000000,-39.000000
348837,238.864380,214.077930,-57.000000,-40.000000
348842,237.178890,214.347950,-56.000000,-41.000000
348846,235.897550,218.476430,-55.000000,-42.000000
348850,233.880600,216.755950,-55.000000,-44.000000
348854,233.591670,214.822690,-54.000000,-45.000000
348858,233.591670,214.822690,-53.000000,-46.000000
348863,231.691060,215.027270,-53.000000,-47.000000
348866,231.334840,213.105270,-53.000000,-49.000000
348871,229.330170,213.294420,-52.000000,-50.000000
348875,229.330170,213.294420,-51.000000,-51.000000
348879,226.799300,211.561420,-51.000000,-53.000000
348883,226.799300,211.561420,-51.000000,-54.000000
348887,225.111850,213.608460,-50.000000,-55.000000
348891,222.899540,213.733220,-49.000000,-57.000000
348895,222.377170,211.849580,-49.000000,-57.000000
348900,221.234190,208.111050,-49.000000,-59.000000
348904,219.476330,210.097950,-48.000000,-61.000000
348907,218.203580,206.401600,-48.000000,-62.000000
348912,217.519010,204.570630,-47.000000,-64.000000
348916,215.010350,204.707780,-46.000000,-65.000000
348921,211.324810,208.524280,-46.000000,-67.000000
348924,211.656720,203.033570,-46.000000,-68.000000
348928,209.797320,204.925740,-45.000000,-70.000000
348933,207.905150,206.785110,-44.000000,-71.000000
348937,207.094540,205.006380,-44.000000,-72.000000
348941,205.380800,201.492680,-43.000000,-73.000000
348945,203.456470,203.318820,-42.000000,-74.000000
348950,201.500580,205.111050,-42.000000,-76.000000
348953,199.665250,201.659320,-41.000000,-78.000000
348957,197.678380,203.417160,-41.000000,-79.000000
348962,195.661120,205.140060,-40.000000,-80.000000
348966,193.706450,201.754490,-40.000000,-81.000000
348970,192.685090,200.087780,-39.000000,-83.000000
348974,189.587800,200.126620,-38.000000,-85.000000
348978,186.432740,200.148030,-37.000000,-87.000000
348983,185.325560,198.537050,-37.000000,-89.000000
348986,182.085780,198.560640,-37.000000,-90.000000
348991,179.953260,200.138640,-36.000000,-91.000000
348995,176.630800,200.107820,-35.000000,-93.000000
348999,174.223970,197.027220,-35.000000,-95.000000
349003,171.711090,194.032490,-35.000000,-97.000000
349007,167.312590,196.999280,-34.000000,-98.000000
349012,167.312590,196.999280,-33.000000,-99.000000
349016,162.813260,199.810820,-32.000000,-100.000000
349020,164.696750,194.094090,-32.000000,-102.000000
349024,158.851840,195.487670,-31.000000,-103.000000
349028,156.566040,196.834110,-30.000000,-104.000000
349033,157.481750,194.093480,-30.000000,-106.000000
349036,152.383820,192.724240,-30.000000,-107.000000
349041,152.383820,192.724240,-29.000000,-108.000000
349045,150.074870,194.030580,-28.000000,-109.000000
349049,147.743500,195.296390,-27.000000,-110.000000
349054,145.390370,196.521360,-27.000000,-111.000000
349057,142.485170,193.905520,-26.000000,-112.000000
349062,141.575040,196.384460,-25.000000,-113.000000
349066,139.180600,197.526580,-24.000000,-114.000000
349071,136.766590,198.626650,-24.000000,-116.000000
349074,133.816190,196.061920,-24.000000,-117.000000
349078,132.307850,194.818530,-23.000000,-117.000000
349083,131.383350,197.119780,-22.000000,-118.000000
349087,128.932420,198.134980,-22.000000,-118.000000
349092,128.932420,198.134980,-21.000000,-119.000000
349095,126.464130,199.107240,-21.000000,-119.000000
349099,123.979280,200.036320,-20.000000,-119.000000
349104,125.465670,201.305820,-20.000000,-120.000000
