pot angle,encoder angle,ax,ay,az
-88.000000,-90.610466,0.037400,0.022000,1.086800
-88.000000,-90.610466,0.019800,0.024200,1.095600
-88.000000,-90.610466,0.026400,0.028600,1.086800
-88.000000,-90.610466,0.037400,0.026400,1.084600
-88.000000,-90.610466,0.030800,0.039600,1.113200
-88.000000,-90.610466,0.026400,0.013200,1.073600
-88.000000,-90.610466,0.028600,0.008800,1.091200
-88.000000,-90.610466,0.026400,0.017600,1.106600
-88.000000,-90.610466,0.026400,0.006600,1.071400
-88.000000,-90.610466,0.024200,0.006600,1.080200
-88.000000,-90.610466,0.026400,0.017600,1.097800
-88.000000,-90.610466,0.033000,0.033000,1.078000
-88.000000,-90.610466,0.030800,0.033000,1.086800
-88.000000,-90.610466,0.030800,0.035200,1.108800
-88.000000,-90.610466,0.037400,0.028600,1.091200
-88.000000,-90.610466,0.035200,0.024200,1.091200
-88.000000,-90.610466,0.026400,0.017600,1.100000
-88.000000,-90.610466,0.026400,0.015400,1.078000
-88.000000,-90.610466,0.017600,0.019800,1.086800
-88.000000,-90.610466,0.022000,0.019800,1.089000
-88.000000,-90.610466,0.026400,0.019800,1.075800
-88.000000,-90.610466,0.019800,0.026400,1.089000
-88.000000,-90.610466,0.022000,0.028600,1.086800
-88.000000,-90.610466,0.033000,0.019800,1.082400
-88.000000,-90.610466,0.035200,0.022000,1.102200
-88.000000,-90.610466,0.033000,0.024200,1.102200
-88.000000,-90.610466,0.035200,0.019800,1.086800
-88.000000,-90.610466,0.033000,0.026400,1.100000
-88.000000,-90.610466,0.030800,0.026400,1.091200
-88.000000,-90.610466,0.033000,0.024200,1.078000
-88.000000,-90.610466,0.024200,0.022000,1.089000
-88.000000,-90.610466,0.022000,0.015400,1.078000
-88.000000,-90.610466,0.026400,0.008800,1.078000
-88.000000,-90.610466,0.024200,0.008800,1.091200
-88.000000,-90.610466,0.026400,0.008800,1.089000
-88.000000,-90.610466,0.030800,0.022000,1.086800
-88.000000,-90.610466,0.033000,0.030800,1.100000
-88.000000,-90.610466,0.030800,0.028600,1.093400
-88.000000,-90.610466,0.035200,0.033000,1.084600
-88.000000,-90.610466,0.030800,0.030800,1.095600
-88.000000,-90.610466,0.028600,0.024200,1.091200
-88.000000,-90.610466,0.028600,0.017600,1.086800
-88.000000,-90.610466,0.024200,0.019800,1.084600
-88.000000,-90.610466,0.022000,0.008800,1.078000
-88.000000,-90.610466,0.026400,0.015400,1.091200
-88.000000,-90.610466,0.024200,0.026400,1.091200
-88.000000,-90.610466,0.028600,0.026400,1.082400
-88.000000,-90.610466,0.024200,0.024200,1.093400
-88.000000,-90.610466,0.030800,0.017600,1.102200
-88.000000,-90.610466,0.035200,0.019800,1.091200
-88.000000,-90.610466,0.028600,0.019800,1.095600
-88.000000,-90.610466,0.026400,0.015400,1.093400
-88.000000,-90.610466,0.024200,0.019800,1.080200
-88.000000,-90.610466,0.022000,0.024200,1.084600
-88.000000,-90.610466,0.024200,0.028600,1.082400
-88.000000,-90.610466,0.024200,0.022000,1.084600
-88.000000,-90.610466,0.026400,0.026400,1.089000
-88.000000,-90.610466,0.024200,0.024200,1.093400
-88.000000,-90.610466,0.035200,0.011000,1.093400
-88.000000,-90.610466,0.035200,0.017600,1.100000
-88.000000,-90.610466,0.024200,0.024200,1.091200
-88.000000,-90.610466,0.030800,0.024200,1.075800
-88.000000,-90.610466,0.026400,0.019800,1.086800
-88.000000,-90.610466,0.026400,0.022000,1.082400
-88.000000,-90.610466,0.030800,0.026400,1.078000
-88.000000,-90.610466,0.022000,0.019800,1.089000
-88.000000,-90.610466,0.028600,0.019800,1.082400
-88.000000,-90.610466,0.028600,0.022000,1.089000
-88.000000,-90.610466,0.030800,0.024200,1.097800
-88.000000,-90.610466,0.033000,0.019800,1.093400
-88.000000,-90.610466,0.033000,0.024200,1.093400
-88.000000,-90.610466,0.030800,0.030800,1.089000
-88.000000,-90.610466,0.030800,0.024200,1.086800
-88.000000,-90.610466,0.028600,0.022000,1.084600
-88.000000,-90.610466,0.022000,0.022000,1.084600
-88.000000,-90.610466,0.022000,0.015400,1.082400
-88.000000,-90.610466,0.024200,0.015400,1.086800
-88.000000,-90.610466,0.022000,0.022000,1.091200
-88.000000,-90.610466,0.030800,0.022000,1.086800
-88.000000,-90.610466,0.030800,0.022000,1.093400
-88.000000,-90.610466,0.033000,0.026400,1.093400
-88.000000,-90.610466,0.033000,0.028600,1.089000
-88.000000,-90.610466,0.033000,0.026400,1.089000
-88.000000,-90.610466,0.026400,0.015400,1.091200
-88.000000,-90.610466,0.028600,0.017600,1.091200
-88.000000,-90.610466,0.026400,0.017600,1.089000
-88.000000,-90.610466,0.024200,0.017600,1.086800
-88.000000,-90.610466,0.026400,0.017600,1.075800
-88.000000,-90.610466,0.024200,0.017600,1.084600
-88.000000,-90.610466,0.026400,0.015400,1.089000
-88.000000,-90.610466,0.026400,0.019800,1.089000
-88.000000,-90.610466,0.033000,0.022000,1.086800
-88.000000,-90.610466,0.033000,0.022000,1.093400
-88.000000,-90.610466,0.033000,0.022000,1.089000
-88.000000,-90.610466,0.028600,0.017600,1.093400
-88.000000,-90.610466,0.033000,0.024200,1.086800
-88.000000,-90.610466,0.024200,0.026400,1.086800
-88.000000,-90.610466,0.028600,0.022000,1.086800
-88.000000,-90.610466,0.028600,0.024200,1.091200
-88.000000,-90.610466,0.026400,0.022000,1.089000
-88.000000,-90.610466,0.024200,0.022000,1.089000
-88.000000,-90.610466,0.028600,0.017600,1.089000
-88.000000,-90.610466,0.028600,0.017600,1.091200
-88.000000,-90.610466,0.026400,0.024200,1.086800
-88.000000,-90.610466,0.026400,0.022000,1.082400
-88.000000,-90.610466,0.030800,0.024200,1.091200
-88.000000,-90.610466,0.028600,0.026400,1.080200
-88.000000,-90.610466,0.030800,0.024200,1.091200
-88.000000,-90.610466,0.030800,0.017600,1.089000
-88.000000,-90.610466,0.033000,0.019800,1.089000
-88.000000,-90.610466,0.028600,0.022000,1.095600
-88.000000,-90.610466,0.030800,0.024200,1.091200
-88.000000,-90.610466,0.028600,0.022000,1.091200
-88.000000,-90.610466,0.019800,0.028600,1.091200
-88.000000,-90.610466,0.026400,0.024200,1.086800
-88.000000,-90.610466,0.026400,0.019800,1.084600
-88.000000,-90.610466,0.026400,0.019800,1.089000
-88.000000,-90.610466,0.033000,0.013200,1.086800
-88.000000,-90.610466,0.024200,0.017600,1.084600
-88.000000,-90.610466,0.028600,0.022000,1.093400
-88.000000,-90.610466,0.028600,0.024200,1.086800
-88.000000,-90.610466,0.028600,0.026400,1.075800
-88.000000,-90.610466,0.028600,0.022000,1.093400
-88.000000,-90.610466,0.030800,0.026400,1.091200
-88.000000,-90.610466,0.028600,0.024200,1.089000
-88.000000,-90.610466,0.030800,0.017600,1.091200
-88.000000,-90.610466,0.026400,0.017600,1.084600
-88.000000,-90.610466,0.026400,0.013200,1.086800
-88.000000,-90.610466,0.026400,0.019800,1.091200
-88.000000,-90.610466,0.028600,0.019800,1.084600
-88.000000,-90.610466,0.015400,0.024200,1.086800
