pot angle, encoder angle, ax,ay,az
0.000000,0.000000,-1.040600,-0.011000,0.123200
0.000000,0.000000,-1.106600,-0.013200,0.125400
0.000000,0.000000,-1.009800,0.004400,0.138600
0.000000,0.000000,-1.113200,-0.019800,0.125400
0.000000,0.000000,-0.998800,0.019800,0.154000
0.000000,0.000000,-1.106600,0.017600,0.114400
0.000000,0.000000,-1.025200,0.006600,0.169400
0.000000,0.000000,-1.082400,0.008800,0.099000
0.000000,0.000000,-1.042800,0.004400,0.160600
0.000000,0.000000,-1.067000,0.000000,0.090200
0.000000,0.000000,-1.064800,-0.026400,0.136400
0.000000,0.000000,-1.060400,-0.006600,0.105600
0.000000,0.000000,-1.064800,-0.006600,0.101200
0.000000,0.000000,-1.056000,-0.004400,0.116600
0.000000,0.000000,-1.067000,0.006600,0.083600                                   
0.000000,0.000000,-1.051600,0.017600,0.143000                                   
0.000000,0.000000,-1.069200,0.026400,0.094600                                   
0.000000,0.000000,-1.056000,0.011000,0.149600                                   
0.000000,0.000000,-1.067000,0.028600,0.125400                                   
0.000000,0.000000,-1.049400,0.019800,0.145200                                   
0.000000,0.000000,-1.056000,0.002200,0.143000                                   
0.000000,0.000000,-1.064800,0.000000,0.129800                                   
0.000000,0.000000,-1.060400,-0.006600,0.136400                                  
0.000000,0.000000,-1.069200,-0.017600,0.112200                                  
0.000000,0.000000,-1.049400,-0.026400,0.140800                                  
0.000000,0.000000,-1.062600,-0.019800,0.114400                                  
0.000000,0.000000,-1.053800,-0.015400,0.132000                                  
0.000000,0.000000,-1.064800,-0.006600,0.116600                                  
0.000000,0.000000,-1.058200,0.006600,0.123200                                   
0.000000,0.000000,-1.062600,0.017600,0.132000                                   
0.000000,0.000000,-1.064800,0.022000,0.129800                                   
0.000000,0.000000,-1.053800,0.017600,0.145200                                   
0.000000,0.000000,-1.058200,0.015400,0.134200                                   
0.000000,0.000000,-1.049400,-0.002200,0.149600                                  
0.000000,0.000000,-1.060400,-0.013200,0.134200                                  
0.000000,0.000000,-1.056000,-0.028600,0.143000                                  
0.000000,0.000000,-1.060400,-0.017600,0.127600                                  
0.000000,0.000000,-1.067000,-0.015400,0.118800                                  
0.000000,0.000000,-1.062600,-0.011000,0.116600                                  
0.000000,0.000000,-1.064800,0.002200,0.103400                                   
0.000000,0.000000,-1.060400,0.017600,0.112200                                   
0.000000,0.000000,-1.067000,0.030800,0.103400                                   
0.000000,0.000000,-1.060400,0.028600,0.116600                                   
0.000000,0.000000,-1.056000,0.026400,0.123200                                   
0.000000,0.000000,-1.058200,0.015400,0.132000                                   
0.000000,0.000000,-1.058200,0.006600,0.140800                                   
0.000000,0.000000,-1.058200,-0.004400,0.145200                                  
0.000000,0.000000,-1.053800,-0.015400,0.147400                                  
0.000000,0.000000,-1.060400,-0.015400,0.140800                                  
0.000000,0.000000,-1.056000,-0.017600,0.143000                                  
0.000000,0.000000,-1.064800,-0.011000,0.127600                                  
0.000000,0.000000,-1.060400,-0.004400,0.125400                                  
0.000000,0.000000,-1.060400,0.002200,0.118800                                   
0.000000,0.000000,-1.060400,0.013200,0.112200                                   
0.000000,0.000000,-1.060400,0.017600,0.105600                                   
0.000000,0.000000,-1.062600,0.022000,0.096800                                   
0.000000,0.000000,-1.067000,0.015400,0.107800                                   
0.000000,0.000000,-1.064800,0.008800,0.112200                                   
0.000000,0.000000,-1.058200,-0.002200,0.121000                                  
0.000000,0.000000,-1.062600,-0.011000,0.129800                                  
0.000000,0.000000,-1.056000,-0.013200,0.143000                                  
0.000000,0.000000,-1.060400,-0.015400,0.147400                                  
0.000000,0.000000,-1.056000,-0.013200,0.151800                                  
0.000000,0.000000,-1.058200,-0.006600,0.147400                                  
0.000000,0.000000,-1.053800,0.004400,0.136400                                   
0.000000,0.000000,-1.058200,0.006600,0.127600                                   
0.000000,0.000000,-1.062600,0.011000,0.112200                                   
0.000000,0.000000,-1.064800,0.011000,0.114400                                   
0.000000,0.000000,-1.064800,0.015400,0.105600                                   
0.000000,0.000000,-1.060400,0.004400,0.107800                                   
0.000000,0.000000,-1.064800,0.000000,0.110000                                   
0.000000,0.000000,-1.060400,-0.004400,0.114400                                  
0.000000,0.000000,-1.060400,-0.006600,0.123200                                  
0.000000,0.000000,-1.060400,-0.011000,0.132000                                  
0.000000,0.000000,-1.058200,-0.002200,0.140800                                  
0.000000,0.000000,-1.060400,-0.002200,0.145200                                  
0.000000,0.000000,-1.056000,0.002200,0.147400                                   
0.000000,0.000000,-1.062600,0.004400,0.147400                                   
0.000000,0.000000,-1.060400,0.006600,0.140800                                   
0.000000,0.000000,-1.060400,0.013200,0.132000                                   
0.000000,0.000000,-1.064800,0.006600,0.125400                                   
0.000000,0.000000,-1.058200,0.008800,0.114400                                   
0.000000,0.000000,-1.060400,0.006600,0.110000                                   
0.000000,0.000000,-1.058200,0.004400,0.110000                                   
0.000000,0.000000,-1.064800,0.004400,0.107800                                   
0.000000,0.000000,-1.062600,-0.002200,0.112200                                  
0.000000,0.000000,-1.056000,-0.008800,0.116600                                  
0.000000,0.000000,-1.058200,-0.013200,0.132000                                  
0.000000,0.000000,-1.060400,-0.008800,0.134200                                  
0.000000,0.000000,-1.058200,-0.002200,0.140800                                  
0.000000,0.000000,-1.056000,0.000000,0.140800                                   
0.000000,0.000000,-1.053800,0.002200,0.143000                                   
0.000000,0.000000,-1.056000,0.006600,0.140800                                   
0.000000,0.000000,-1.058200,0.008800,0.134200                                   
0.000000,0.000000,-1.060400,0.008800,0.129800                                   
0.000000,0.000000,-1.060400,0.006600,0.125400                                   
0.000000,0.000000,-1.060400,0.002200,0.123200                                   
0.000000,0.000000,-1.060400,0.000000,0.118800                                   
0.000000,0.000000,-1.067000,0.002200,0.116600                                   
0.000000,0.000000,-1.060400,-0.004400,0.114400                                  
0.000000,0.000000,-1.060400,-0.006600,0.112200                                  
0.000000,0.000000,-1.062600,0.000000,0.114400                                   
0.000000,0.000000,-1.062600,0.002200,0.123200                                   
0.000000,0.000000,-1.062600,0.000000,0.127600                                   
0.000000,0.000000,-1.060400,0.004400,0.132000                                   
0.000000,0.000000,-1.058200,0.006600,0.138600                                   
0.000000,0.000000,-1.058200,0.011000,0.134200                                   
0.000000,0.000000,-1.058200,0.006600,0.136400                                   
0.000000,0.000000,-1.058200,0.006600,0.134200                                   
0.000000,0.000000,-1.060400,0.002200,0.123200                                   
0.000000,0.000000,-1.058200,-0.002200,0.125400                                  
0.000000,0.000000,-1.060400,-0.006600,0.121000                                  
0.000000,0.000000,-1.062600,-0.006600,0.121000                                  
0.000000,0.000000,-1.062600,0.000000,0.116600                                   
0.000000,0.000000,-1.060400,-0.002200,0.123200                                  
0.000000,0.000000,-1.060400,0.002200,0.123200                                   
0.000000,0.000000,-1.062600,0.002200,0.123200                                   
0.000000,0.000000,-1.060400,0.011000,0.121000                                   
0.000000,0.000000,-1.058200,0.008800,0.127600                                   
0.000000,0.000000,-1.058200,0.008800,0.134200                                   
0.000000,0.000000,-1.060400,0.002200,0.134200                                   
0.000000,0.000000,-1.060400,-0.004400,0.136400                                  
0.000000,0.000000,-1.060400,-0.004400,0.132000                                  
0.000000,0.000000,-1.058200,-0.006600,0.129800                                  
0.000000,0.000000,-1.062600,-0.013200,0.125400                                  
0.000000,0.000000,-1.058200,-0.004400,0.125400                                  
0.000000,0.000000,-1.058200,0.002200,0.121000                                   
0.000000,0.000000,-1.062600,0.006600,0.123200                                   
0.000000,0.000000,-1.060400,0.006600,0.121000                                   
0.000000,0.000000,-1.058200,0.004400,0.118800                                   
0.000000,0.000000,-1.060400,0.002200,0.127600                                   
0.000000,0.000000,-1.060400,0.002200,0.125400                                   
0.000000,0.000000,-1.058200,0.000000,0.132000                                   
0.000000,0.000000,-1.062600,-0.004400,0.129800                                  
0.000000,0.000000,-1.060400,-0.004400,0.129800                                  
0.000000,0.000000,-1.062600,-0.004400,0.127600                                  
0.000000,0.000000,-1.060400,-0.002200,0.127600                                  
0.000000,0.000000,-1.062600,0.002200,0.127600                                   
0.000000,0.000000,-1.060400,0.004400,0.127600                                   
0.000000,0.000000,-1.060400,0.006600,0.129800                                   
0.000000,0.000000,-1.060400,0.006600,0.125400                                   
0.000000,0.000000,-1.060400,0.011000,0.127600                                   
0.000000,0.000000,-1.062600,0.006600,0.121000                                   
0.000000,0.000000,-1.062600,0.002200,0.125400                                   
0.000000,0.000000,-1.060400,0.000000,0.125400                                   
0.000000,0.000000,-1.058200,-0.008800,0.125400                                  
0.000000,0.000000,-1.060400,0.002200,0.125400                                   
0.000000,0.000000,-1.062600,-0.004400,0.121000                                  
1.000000,0.000000,-1.058200,-0.004400,0.123200                                  
