pot angle, encoder angle, ax,ay,az
-88.000000,-90.523262,0.000000,0.057200,1.091200
-88.000000,-90.523262,-0.008800,0.066000,1.080200
-88.000000,-90.523262,0.000000,0.068200,1.091200
-88.000000,-90.523262,0.013200,0.070400,1.091200
-88.000000,-90.523262,0.008800,0.081400,1.097800
-88.000000,-90.523262,0.008800,0.066000,1.075800
-88.000000,-90.523262,0.013200,0.070400,1.106600
-88.000000,-90.523262,0.004400,0.077000,1.097800
-88.000000,-90.523262,-0.004400,0.066000,1.078000
-88.000000,-90.523262,-0.004400,0.055000,1.080200
-88.000000,-90.523262,0.000000,0.059400,1.086800
-88.000000,-90.523262,-0.004400,0.070400,1.071400
-88.000000,-90.523262,-0.004400,0.068200,1.082400
-88.000000,-90.436050,-0.006600,0.092400,1.190200
-88.000000,-90.087212,-0.063800,0.154000,1.436600                               
-88.000000,-89.738373,-0.118800,0.127600,1.665400                               
-88.000000,-89.127907,-0.220000,0.050600,1.515800                               
-86.000000,-88.517448,0.776600,0.085800,2.600400                                
-85.000000,-87.732559,0.085800,-0.037400,1.476200                               
-85.000000,-86.947678,0.334400,0.024200,1.597200                                
-84.000000,-85.988373,0.279400,0.004400,1.353000                                
-83.000000,-85.029076,0.257400,0.158400,1.584000                                
-82.000000,-84.069771,0.112200,0.277200,1.416800                                
-81.000000,-83.023262,0.066000,0.228800,1.306800                                
-79.000000,-81.889542,0.019800,0.154000,1.029600                                
-79.000000,-80.843025,-0.151800,0.099000,0.818400                               
-78.000000,-79.709305,-0.255200,0.019800,0.836000                               
-76.000000,-78.575584,-0.343200,-0.103400,0.704000                              
-75.000000,-77.354652,-0.347600,-0.121000,0.655600                              
-74.000000,-76.220932,-0.305800,-0.015400,0.873400                              
-73.000000,-75.000000,-0.162800,-0.101200,1.034000                              
-72.000000,-73.866280,-0.191400,0.052800,1.181400                               
-70.000000,-72.645355,-0.191400,0.327800,1.430000                               
-69.000000,-71.424423,-0.057200,0.198000,1.339800                               
-68.000000,-70.203491,-0.055000,0.055000,1.106600                               
-67.000000,-68.982559,-0.134200,0.176000,1.042800                               
-65.000000,-67.761627,-0.132000,0.068200,1.150600                               
-64.000000,-66.540703,-0.237600,-0.011000,1.295800                              
-63.000000,-65.319771,-0.198000,0.127600,1.251800                               
-61.000000,-64.098839,-0.204600,0.173800,1.113200                               
-60.000000,-62.877911,-0.349800,-0.055000,0.880000                              
-59.000000,-61.656979,-0.506000,-0.035200,0.662200                              
-58.000000,-60.348839,-0.517000,0.013200,0.697400                               
-57.000000,-59.127911,-0.530200,0.055000,0.618200                               
-55.000000,-57.819771,-0.499400,0.275000,0.649000                               
-54.000000,-56.598839,-0.486200,0.110000,0.833800                               
-53.000000,-55.290699,-0.620400,-0.114400,0.888800                              
-52.000000,-53.982559,-0.451000,-0.059400,1.115400                              
-50.000000,-52.674419,-0.442200,0.149600,1.082400                               
-50.000000,-51.453491,-0.446600,0.154000,0.965800                               
-48.000000,-50.145351,-0.541200,0.158400,1.128600                               
-47.000000,-48.837212,-0.420200,-0.154000,1.139600                              
-46.000000,-47.616280,-0.380600,0.039600,1.020800                               
-44.000000,-46.308140,-0.497200,0.277200,0.862400                               
-43.000000,-45.000000,-0.737000,0.178200,0.809600                               
-42.000000,-43.691864,-0.719400,0.057200,0.855800                               
-40.000000,-42.470932,-0.596200,-0.079200,0.675400                              
-39.000000,-41.162792,-0.642400,0.077000,0.477400                               
-38.000000,-39.854652,-0.763400,0.024200,0.420200                               
-37.000000,-38.546513,-0.847000,-0.013200,0.646800                              
-35.000000,-37.151165,-0.664400,-0.132000,0.655600                              
-34.000000,-35.843025,-0.686400,0.096800,0.495000                               
-33.000000,-34.534885,-0.840400,0.160600,0.706200                               
-32.000000,-33.226746,-0.664400,0.013200,0.941600                               
-30.000000,-31.831396,-0.629200,-0.050600,0.880000                              
-28.000000,-30.523256,-0.717200,0.030800,0.734800                               
-27.000000,-29.215117,-0.873400,0.099000,0.822800                               
-26.000000,-27.906979,-0.765600,0.013200,0.638000                               
-25.000000,-26.598839,-0.721600,0.099000,0.657800                               
-24.000000,-25.290699,-0.849200,0.156200,0.488400                               
-23.000000,-23.895350,-0.972400,0.140800,0.385000                               
-22.000000,-22.587210,-0.825000,-0.092400,0.459800                              
-20.000000,-21.279070,-0.759000,-0.041800,0.365200                              
-19.000000,-19.883722,-0.963600,-0.019800,0.228800                              
-18.000000,-18.575583,-0.941600,-0.116600,0.393800                              
-17.000000,-17.180233,-0.765600,-0.123200,0.473000                              
-16.000000,-15.784884,-0.862400,-0.094600,0.213400                              
-14.000000,-14.476745,-0.884400,-0.028600,0.341000                              
-13.000000,-13.081396,-0.767800,0.052800,0.646800                               
-12.000000,-11.860466,-0.833800,0.046200,0.389400                               
-10.000000,-10.639535,-1.040600,0.055000,0.103400                               
-10.000000,-9.505815,-0.965800,0.198000,0.193600                                
-8.000000,-8.372093,-0.979000,0.151800,0.092400                                 
-7.000000,-7.325582,-1.025200,-0.026400,-0.088000                               
-6.000000,-6.366279,-1.034000,-0.110000,-0.140800                               
-5.000000,-5.406977,-1.018600,-0.028600,-0.110000                               
-4.000000,-4.622093,-1.113200,-0.055000,-0.404800                               
-4.000000,-3.837209,-1.139600,-0.187000,-0.470800                               
-2.000000,-3.226744,-1.144000,-0.191400,-0.440000                               
-2.000000,-2.616279,-0.994400,-0.125400,-0.334400                               
-1.000000,-2.005814,-1.214400,-0.074800,-0.481800                               
-1.000000,-1.569767,-1.139600,0.200200,-0.279400                                
0.000000,-1.133721,-1.045000,0.129800,-0.123200                                 
0.000000,-0.784884,-1.091200,0.107800,-0.110000                                 
0.000000,-0.523256,-1.102200,0.154000,-0.079200                                 
0.000000,-0.261628,-1.060400,0.110000,0.107800                                  
0.000000,-0.087209,-1.060400,0.039600,0.160600                                  
1.000000,0.087209,-1.084600,-0.008800,0.134200                                  
0.000000,0.174419,-1.095600,-0.072600,0.147400                                  
1.000000,0.261628,-1.016400,-0.066000,0.314600                                  
1.000000,0.348837,-1.025200,-0.103400,0.242000                                  
0.000000,0.348837,-1.060400,-0.085800,0.127600                                  
1.000000,0.436047,-1.093400,-0.041800,0.048400                                  
0.000000,0.436047,-1.067000,0.002200,0.046200                                   
1.000000,0.436047,-1.102200,0.035200,-0.057200                                  
0.000000,0.436047,-1.069200,0.081400,-0.015400                                  
1.000000,0.436047,-1.104400,0.079200,-0.079200                                  
1.000000,0.436047,-1.049400,0.066000,0.039600                                   
1.000000,0.436047,-1.137400,0.063800,-0.068200                                  
0.000000,0.436047,-1.012000,0.017600,0.180400                                   
1.000000,0.436047,-1.095600,-0.019800,0.112200                                  
